,N,Mean,Std Dev,Min,Q25,Median,Q75,Max
ln(Output),2294.0,10.7429,1.8093,5.3509,9.7129,10.9277,11.997,14.474
ln(Labor),2294.0,4.9874,1.4428,1.3863,4.0775,5.1358,5.9661,8.2503
ln(Capital),2294.0,10.4958,1.9066,5.7185,9.2219,10.731,11.8487,14.4451
Leverage (liab/assets),2294.0,0.6834,0.3387,0.0353,0.4884,0.6923,0.8485,2.3551
ln(Wage),2294.0,3.943,0.6323,1.6538,3.6309,4.0506,4.368,5.2813
ln(Size),2294.0,10.7512,1.5324,6.9659,9.7946,10.7726,11.7739,14.5162
