year,CR4,HHI,N_firms
2012,15.901690903818416,133.92405981016893,523
2013,14.613942355614142,123.3074271812135,500
2014,17.848145689108545,164.3416346356196,265
2015,17.636717964933165,160.38292604896077,273
2016,18.213839083199897,168.21068174023165,262
2017,19.57587931224964,185.18024135570977,241
2018,22.046297407671066,208.02920754637336,230
