firm_id,year,tinh,nganh_kd,firm_ownership,soe,private,fdi,ma_thue,region,big_city,firmage,Output,Labor,Capital,Leverage,Wage,Size,lnOutput,lnLabor,lnCapital,lnWage,lnSize,lnVA,lnSales,VA,equity,export,import
100100382,2012,1,31009,2.0,0.0,1.0,0.0,100100382.0,Red River Delta,1.0,15.0,47843.0,116,56590.0,0.6041015982627869,50.20720672607422,31061.0,10.775680095688484,4.7535901911063645,10.94358757013657,3.9161585766742557,10.343708291934567,9.41548287218084,10.775680095688484,12277.0,12297.0,,
100100382,2013,1,31009,2.0,0.0,1.0,0.0,100100382.0,Red River Delta,1.0,16.0,42814.0,98,56105.0,0.586063027381897,53.7843132019043,33795.0,10.664620430887167,4.584967478670572,10.934980214098967,3.984981848478359,10.428068141534455,9.17367638760459,10.664620430887167,9640.0,13989.0,,
100100382,2014,1,31009,2.0,0.0,1.0,0.0,100100382.0,Red River Delta,1.0,17.0,32592.0,118,51919.0,0.7371376156806946,47.435184478759766,51118.0,10.391822138466587,4.770684624465665,10.857440090791872,3.859364241922547,10.841891964655394,8.834191318202071,10.391822138466587,6865.0,13437.0,,
100100382,2015,1,31009,2.0,0.0,1.0,0.0,100100382.0,Red River Delta,1.0,18.0,22210.0,76,74977.0,0.8167898058891296,52.73255920410156,71317.0,10.008297916888473,4.330733340286331,11.224936678819944,3.9652330864837633,11.174890007155179,9.151121012316212,10.008297916888473,9425.0,13066.0,,
100100382,2016,1,31009,2.0,0.0,1.0,0.0,100100382.0,Red River Delta,1.0,19.0,18741.0,76,155914.0,0.8316302299499512,54.56578826904297,67524.0,9.838468916161679,4.330733340286331,11.957059852168571,3.999407097883191,11.12023836922128,8.913281137711804,9.838468916161679,7430.0,11369.0,,
100100382,2018,1,31009,2.0,0.0,1.0,0.0,100100382.0,Red River Delta,1.0,32.0,17031.0,54,81168.6015625,0.45388007164001465,69.5740737915039,44909.0,9.742790491838836,3.9889840465642745,11.304283771104899,4.242391994948266,10.712393499078143,9.458488682279958,9.742790491838836,12816.5,24525.7,0.0,0.0
100101636,2013,1,31001,2.0,0.0,1.0,0.0,100101636.0,Red River Delta,1.0,14.0,6666.0,45,22057.0,0.10818785429000854,82.88888549804688,12201.0,8.804775258867686,3.8066624897703196,10.001385290812587,4.417500981959259,9.409273194575334,7.622174594817622,8.804775258867686,2043.0,10881.0,,
100512315,2012,1,31001,2.0,0.0,1.0,0.0,100512315.0,Red River Delta,1.0,20.0,2823.0,250,365617.0,0.5729893445968628,59.9119987487793,1183680.0,7.945555428253489,5.521460917862246,12.809341616387,4.092876798062757,13.984138787626227,9.672626800077511,7.945555428253489,15877.0,505444.0,,
100512315,2013,1,31001,2.0,0.0,1.0,0.0,100512315.0,Red River Delta,1.0,21.0,19605.0,135,749191.0,0.7058084607124329,101.08148193359375,1700800.0,9.883539914726432,4.90527477843843,13.526749236666248,4.61592694340969,14.346609286569821,9.480901717619545,9.883539914726432,13107.0,500361.0,,
100512315,2014,1,31001,2.0,0.0,1.0,0.0,100512315.0,Red River Delta,1.0,22.0,5952.0,83,1076361.0,0.7067295908927917,95.4403305053711,1706350.0,8.691482576512929,4.418840607796598,13.88909646529444,4.558501240748575,14.34986714425663,9.599811590329997,8.691482576512929,14762.0,500422.0,,
